,university_name,score_cwur,score_shanghai,score_times,mean_score
673,University of Edinburgh,0.9558912521252277,-0.23965292163820495,-0.17809507852756515,0.1793810839864859
605,University of Bern,0.17357333758796206,,,0.17357333758796206
1012,Zhejiang University,0.17357333758796084,,,0.17357333758796084
833,University of Pittsburgh  Pittsburgh Campus,0.8253613357679637,-0.4796661505689154,,0.17284759259952415
721,University of Kansas,0.16668066873741363,,,0.16668066873741363
753,University of Maryland College Park,0.6655375767958677,-0.017780227452257442,-0.1566897683083773,0.16368919367841095
688,University of Georgia,0.15892641628054616,,,0.15892641628054616
55,Cardiff University,0.15461849824895352,,,0.15461849824895352
676,University of ErlangenNuremberg,0.1416947441541744,,,0.1416947441541744
712,University of Illinois at Chicago,0.1391099933352198,,,0.1391099933352198
327,Mines ParisTech,0.13796121519346033,,,0.13796121519346033
653,University of Colorado Boulder,1.0403264455444483,0.17897480324094123,-0.8116922610155253,0.13586966258995478
875,University of Southampton,0.4122319965382069,,-0.14384658217686472,0.1341927071806711
98,Complutense University of Madrid,0.13135574087835236,,,0.13135574087835236
628,University of California Davis,1.0097402275201386,-0.19988328777468597,-0.41783455298246874,0.13067412892099461
438,Queen Mary University of London,0.13049415727203334,,,0.13049415727203334
267,Kobe University,0.13049415727203334,,,0.13049415727203334
607,University of Bologna,0.1261862392404407,,,0.1261862392404407
695,University of Groningen,0.5673170456755513,-0.6254881414018182,0.41697254556585717,0.11960048327986343
754,University of Massachusetts Amherst,0.11929357038989104,,,0.11929357038989104
7,AixMarseille University,0.11929357038989104,,,0.11929357038989104
424,Pohang University of Science and Technology,0.27437861952723547,,-0.045382155168600766,0.11449823217931734
91,Claude Bernard University Lyon 1,0.11412406875198061,,,0.11412406875198061
730,University of Leeds,0.36484489819068433,,-0.14384658217686472,0.1104991580069098
747,University of Manitoba,0.10292348186983831,,,0.10292348186983831
686,University of Geneva,0.6427056112284254,-0.4382220058058802,,0.10224180271127259
380,Newcastle University,0.10206189826352052,,,0.10206189826352052
254,Karolinska Institute,0.6551985735200456,-0.1615090796607645,-0.19093826465907834,0.1009170764000676
876,University of Southern California,1.1609481504290482,-0.20127871352428323,-0.6618550894812103,0.09927144914118487
115,Dresden University of Technology,0.09516922941297085,,,0.09516922941297085
724,University of Kiel,0.09430764580665306,,,0.09430764580665306
778,University of Montpellier 2,0.09430764580665306,,,0.09430764580665306
915,University of Turin,0.08913814416874141,,,0.08913814416874141
284,Laval University,0.0874149769561046,,,0.0874149769561046
656,University of Connecticut,0.0865533933497856,,,0.0865533933497856
894,University of Tennessee Knoxville,0.0865533933497856,,,0.0865533933497856
244,JuliusMaximilians University of Wrzburg,0.08138389171187395,,,0.08138389171187395
384,North Carolina State University,0.07879914089291812,,,0.07879914089291812
341,Nanjing University,0.07535280646764451,,,0.07535280646764451
414,Paris Descartes University,0.0719064720423709,,,0.0719064720423709
456,Royal Holloway University of London,-0.3235604032578552,,0.4640642280480702,0.0702519123951075
127,Erasmus University Rotterdam,0.8326847964216709,,-0.7003846478757487,0.0661500742729611
896,University of Texas Health Science Center at San Antonio,0.06329063597918441,,,0.06329063597918441
350,National Cheng Kung University,0.0624290523728654,,,0.0624290523728654
408,Osaka City University,0.060705885160228595,,,0.060705885160228595
300,Lund University,0.5759328817387366,-0.7751475530461129,0.3784429871713188,0.05974277195464748
